YEAR,VEP_SHARE,WON,PARTY,CANDIDATE
1972,0.3737383,1,R,Richard Nixon
1936,0.3707035,1,D,Franklin Roosevelt
1964,0.3669308,1,D,Lyndon Johnson
1956,0.3455790,1,R,Dwight Eisenhower
1952,0.3437379,1,R,Dwight Eisenhower
1940,0.3414842,1,D,Franklin Roosevelt
2020,0.3405675,1,D,Joe Biden
1928,0.3312090,1,R,Herbert Hoover
1960,0.3281278,1,D,John Kennedy
1960,0.3270459,0,R,Richard Nixon
1932,0.3267990,1,D,Franklin Roosevelt
2012,0.3191482,1,D,Barack Obama
2024,0.3158890,1,R,Donald Trump
2020,0.3109890,0,R,Donald Trump
1988,0.3100921,1,R,George H.W. Bush
2024,0.3065486,0,D,Kamala Harris
1984,0.3028770,1,R,Ronald Reagan
2016,0.3025992,0,D,Hillary Clinton
1976,0.3009532,1,D,Jimmy Carter
1944,0.2984914,1,D,Franklin Roosevelt
2008,0.2974414,1,D,Barack Obama
1920,0.2968718,1,R,Warren Harding
2012,0.2950251,0,R,Mitt Romney
2016,0.2894174,1,R,Donald Trump
1976,0.2885468,0,R,Gerald Ford