YEAR,RANK,VEP%,2024_VOTES,MILLIONS,CANDIDATE,LOST,244666890,2024_VEP
1972,1,37.37%,91441399,91.44,Richard Nixon,,,
1936,2,37.07%,90698877,90.70,Franklin D. Roosevelt,,,
1964,3,36.69%,89775806,89.78,Lyndon Johnson,,,
1956,4,34.56%,84551727,84.55,Dwight D. Eisenhower,,,
1952,5,34.37%,84101293,84.10,Dwight D. Eisenhower,,,
1940,6,34.15%,83549877,83.55,Franklin D. Roosevelt,,,
2020,7,34.06%,83325598,83.33,Joe Biden,,,
1928,8,33.12%,81035875,81.04,Herbert Hoover,,,
1960,9,32.81%,80282003,80.28,John Kennedy,,,
1960,10,32.70%,80017312,80.02,Richard Nixon,x,,
1932,11,32.68%,79956896,79.96,Franklin D. Roosevelt,,,
2012,12,31.91%,78084989,78.08,Barack Obama,,,
2024,13,31.59%,77290271,77.29,Donald Trump,,,FIXED
2020,14,31.10%,76088715,76.09,Donald Trump,x,,
1988,15,31.01%,75869258,75.87,George H.W. Bush,,,
2024,16,30.65%,75002635,75.00,Kamala Harris,x,,FIXED
1984,17,30.29%,74103963,74.10,Ronald Reagan,,,
2016,18,30.26%,74035993,74.04,Hillary Clinton,x,,
1976,19,30.10%,73633289,73.63,Jimmy Carter,,,
1944,20,29.85%,73030958,73.03,Franklin D. Roosevelt,,,
2008,21,29.74%,72774061,72.77,Barack Obama,,,
1920,22,29.69%,72634710,72.63,Warren G. Harding,,,
2012,23,29.50%,72182881,72.18,Mitt Romney,x,,
2016,24,28.94%,70810865,70.81,Donald Trump,,,
1976,25,28.85%,70597842,70.60,Gerald Ford,X,,